82 1748
73 27 59
78 37 87
59 25 14
1 74 5
55 73 42
25 10 43
33 53 70
47 1 91
21 44 15
62 16 31
80 7 67
2 80 24
53 19 40
36 73 67
63 56 37
56 12 45
28 79 13
2 72 98
80 16 58
4 31 83
66 16 8
76 23 82
3 13 54
16 40 4
11 22 15
4 50 95
22 9 74
52 27 14
1 43 42
2 33 79
63 66 58
66 4 16
4 37 77
44 81 20
75 81 20
66 2 78
45 69 61
10 6 84
69 78 36
2 42 8
15 61 46
30 25 87
16 42 52
15 35 11
28 68 51
32 73 27
60 67 88
69 45 75
52 18 54
27 38 40
20 36 33
40 42 89
42 39 89
6 24 7
52 3 77
54 75 17
60 73 60
73 9 85
32 41 33
39 75 21
19 14 91
69 63 60
65 60 81
39 30 22
64 51 93
14 44 20
37 30 33
6 76 52
19 42 78
24 77 64
15 4 24
47 77 49
29 28 44
6 19 3
50 58 80
45 39 9
73 40 9
79 63 87
53 26 25
42 78 70
39 13 14
38 42 94
67 78 78
19 9 49
5 34 29
16 53 33
69 41 99
55 45 99
37 57 44
36 30 16
67 18 46
51 15 80
68 40 59
77 21 24
2 30 11
23 38 44
37 73 5
66 58 69
36 22 16
67 27 20
59 41 77
2 78 20
0 15 84
19 18 81
29 66 66
57 12 88
4 60 47
75 22 43
7 80 45
42 46 17
27 69 69
2 10 67
27 58 95
50 35 92
18 34 72
8 49 90
22 62 96
64 20 5
14 67 81
56 0 34
24 44 27
35 59 12
52 79 37
43 40 33
78 53 71
67 49 13
73 37 89
72 79 91
29 30 59
76 71 22
73 41 46
29 31 82
51 50 54
0 28 47
59 52 16
0 51 57
56 16 55
31 79 11
74 15 50
23 66 76
36 58 62
61 33 0
22 6 21
4 73 41
41 52 93
31 5 61
73 72 70
35 26 30
52 5 67
51 77 70
15 34 24
29 10 92
67 44 72
40 81 65
24 68 69
55 30 6
35 53 95
63 1 9
81 51 54
5 62 91
10 45 60
19 17 13
20 42 33
7 79 17
34 13 22
46 64 87
40 11 24
35 70 89
51 21 88
54 56 45
72 55 48
49 10 62
55 10 92
46 61 99
67 56 89
46 16 58
78 67 29
5 76 28
74 33 62
22 76 35
22 81 98
3 25 93
42 58 3
21 36 98
29 23 25
46 13 8
28 13 56
41 79 65
74 20 2
14 37 78
52 25 38
77 43 97
59 6 39
34 50 44
47 64 69
2 8 13
42 48 30
37 66 54
10 31 26
31 32 34
51 73 94
36 57 5
41 15 41
52 58 33
5 24 14
76 13 90
81 26 87
65 55 28
29 68 88
21 5 33
59 45 21
45 37 7
50 57 96
81 0 74
69 24 6
47 21 32
45 9 73
5 8 81
70 14 29
32 58 61
35 41 30
10 52 56
59 2 0
8 54 76
26 42 41
24 25 39
48 1 67
16 55 73
47 0 4
41 4 45
16 0 70
1 68 74
48 47 98
37 53 68
80 36 61
7 76 70
62 69 66
17 34 53
69 6 52
24 78 14
69 44 43
48 66 69
17 15 69
71 68 21
72 47 1
72 54 20
44 2 63
34 11 57
53 10 61
16 15 74
43 37 72
4 29 47
29 63 96
43 74 91
9 6 84
64 68 49
17 58 47
7 70 2
14 39 86
7 66 1
5 0 32
18 1 72
9 51 2
70 64 93
3 60 87
38 23 47
16 58 6
15 53 54
62 18 24
39 71 86
19 16 61
65 46 24
31 35 85
80 15 6
75 70 37
39 42 24
75 74 16
62 53 21
30 50 78
73 17 22
16 65 1
25 42 16
23 56 93
69 62 88
24 47 51
79 59 5
16 11 64
77 70 26
3 40 26
64 29 84
45 42 54
48 59 85
28 45 63
78 6 37
53 58 2
49 17 65
65 78 57
0 25 28
60 31 64
78 70 70
63 20 87
30 81 6
15 17 13
45 6 4
67 76 36
77 53 14
55 13 26
50 41 6
20 60 59
71 25 27
39 22 39
68 50 26
1 25 98
44 48 50
75 12 52
29 15 92
29 32 37
12 78 52
74 54 13
66 79 76
71 32 30
10 19 51
15 18 67
2 36 78
42 74 18
31 29 26
11 53 50
51 62 72
9 68 31
49 36 84
2 6 12
